id,username,created_at,lng,lat,text
1517367826578911233,MattAlamia,Fri Apr 22 05:00:55 +0000 2022,-96.835249,33.1501395,@Tarence_7 Was GAS🔥
1517367827644047360,Luis_Soria3,Fri Apr 22 05:00:56 +0000 2022,-119.30660750000001,37.2691755,I used look At HER she was it. Then looked Them . And then I stopped and I looked in the mirror . I wasn't impresse… https://t.co/XqTySbnGTL
1517367829297000448,SonRanto,Fri Apr 22 05:00:56 +0000 2022,-87.732013,41.8335845,@theedmchild Not in the daytime. I woulda noticed.
1517367832241180674,Kaitluv22,Fri Apr 22 05:00:57 +0000 2022,-83.1738665,32.6782075,I want to be the picture that made it into your frame
1517367832689790976,LGordonPoker,Fri Apr 22 05:00:57 +0000 2022,-122.99320800000001,38.505472,@jrichardgoodman He came up with a monster stop vs Joker deep in paint at 2:36 of 4th
1517367834598428672,Rydagreat24,Fri Apr 22 05:00:57 +0000 2022,-96.961483,32.863917,@theejamieson Killed the parlay with that bs
1517367834430828544,CreativCulinary,Fri Apr 22 05:00:57 +0000 2022,-105.5508905,38.997935999999996,@CarolCole16 @shanna_hayes4 @Facebook None. I have several like this where I get notices that they're spam and I'm… https://t.co/l5kHENc1Qw
1517367835617492993,rrnunez,Fri Apr 22 05:00:57 +0000 2022,-122.2800145,47.469552,@nathaliejacoby1 We're fucked
1517367835667972096,mrOfApril,Fri Apr 22 05:00:58 +0000 2022,-83.804475,27.698681999999998,We fight for the bill you niggas still chippin in.
1517367835827351553,SOdaddy2017,Fri Apr 22 05:00:58 +0000 2022,-88.0782555,41.975102,Got those Blackhawks coins back! And then some! https://t.co/e5czhdwLpt
1517367838050291712,itsBeaXCV,Fri Apr 22 05:00:58 +0000 2022,-81.3677725,28.501678499999997,@denefsierra At first I was all for getting it from Costco but Best Buy has better deals 🫣
1517367838503325696,BlakePierce515,Fri Apr 22 05:00:58 +0000 2022,-89.53377,34.35467,Goodnight Mavs/Ole Miss fans. https://t.co/ViLpYZlL4P
1517367842139631616,pops3284,Fri Apr 22 05:00:59 +0000 2022,-115.135165,36.0609645,@ProfessorBoujee what's your youtube channel link?
1517367844941488128,SilentJ317,Fri Apr 22 05:01:00 +0000 2022,-86.1429225,39.7795625,Back a looooong ass time ago when I was out here a lil bit. I had the Dale Jr. nascar Nextel flip with “grinding” a… https://t.co/e4p4fqm2oW
1517367846593908736,obannan,Fri Apr 22 05:01:00 +0000 2022,-97.8467395,30.568679000000003,"@wil_da_beast630 Myth #5:Culture isn't very important, so we don't need to actively participate in guiding enterta… https://t.co/AgV0jK8q7Z"
1517367849492226048,VGK_BAE,Fri Apr 22 05:01:01 +0000 2022,-115.23443549999999,36.0188045,Yea ok @nhl were supposed to believe every puckline hit tonight? Gtfoh
1517367849559281664,JadonRosendo,Fri Apr 22 05:01:01 +0000 2022,-115.135165,36.0609645,Leaving this tweet here for when I hit silver in Valorant
1517367851073499136,givemeachance,Fri Apr 22 05:01:01 +0000 2022,-121.8737305,37.331159,Jokic is ass
1517367852478644224,9thScientist,Fri Apr 22 05:01:02 +0000 2022,-92.342322,34.721886,Fans I sincerely appreciate those of you that have been reaching out to support music I'm one of the slept on Emcee… https://t.co/azEuoN83qL
1517367853334233088,Racermx275,Fri Apr 22 05:01:02 +0000 2022,-118.4119065,34.0207895,Blessing of life to not bully but love each other in peace be kind to all ❤️✝️ https://t.co/P5rNl1npqL
